# Market/curve.csv
# Mon Nov 16 14:33:49 2020
# Market_1
# market_id,timestamp,sort_index,bidder_name,bid_quantity,bid_price
# supply curve at 2012-04-08 00:30:00 UTC: 1200.000000 total and 0.000000 unresponsive
1,2012-04-08 00:30:00 UTC,   0,Market_1,1200.000,0.065140
# demand curve at 2012-04-08 00:30:00 UTC: 16.699540 total and 16.699540 unresponsive
1,2012-04-08 00:30:00 UTC,   0,HVMV_Sub,-16.700,9999.000000
# marginal quantity of 16.699540 kW (0.013916 %)
# curve cleared 16.699540 at $0.065140 with marginal_seller type
# supply curve at 2012-04-08 01:00:00 UTC: 1200.000000 total and 0.000000 unresponsive
2,2012-04-08 01:00:00 UTC,   0,Market_1,1200.000,0.065140
# demand curve at 2012-04-08 01:00:00 UTC: 23.257660 total and 23.257660 unresponsive
2,2012-04-08 01:00:00 UTC,   0,HVMV_Sub,-23.258,9999.000000
# marginal quantity of 23.257660 kW (0.019381 %)
# curve cleared 23.257660 at $0.065140 with marginal_seller type
# supply curve at 2012-04-08 01:30:00 UTC: 1200.000000 total and 0.000000 unresponsive
3,2012-04-08 01:30:00 UTC,   0,Market_1,1200.000,0.063280
# demand curve at 2012-04-08 01:30:00 UTC: 19.569003 total and 19.569003 unresponsive
3,2012-04-08 01:30:00 UTC,   0,HVMV_Sub,-19.569,9999.000000
# marginal quantity of 19.569003 kW (0.016308 %)
# curve cleared 19.569003 at $0.063280 with marginal_seller type
# supply curve at 2012-04-08 02:00:00 UTC: 1200.000000 total and 0.000000 unresponsive
4,2012-04-08 02:00:00 UTC,   0,Market_1,1200.000,0.063280
# demand curve at 2012-04-08 02:00:00 UTC: 20.667208 total and 20.667208 unresponsive
4,2012-04-08 02:00:00 UTC,   0,HVMV_Sub,-20.667,9999.000000
# marginal quantity of 20.667208 kW (0.017223 %)
# curve cleared 20.667208 at $0.063280 with marginal_seller type
# supply curve at 2012-04-08 02:30:00 UTC: 1200.000000 total and 0.000000 unresponsive
5,2012-04-08 02:30:00 UTC,   0,Market_1,1200.000,0.047927
# demand curve at 2012-04-08 02:30:00 UTC: 19.210054 total and 19.210054 unresponsive
5,2012-04-08 02:30:00 UTC,   0,HVMV_Sub,-19.210,9999.000000
