# file...... strom/strom_49.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# target.... triplex_meter 471
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price
2012-04-08 00:00:00 UTC,+0,+85-4.78954e-15d,+85,+85,+0,+30
2012-04-08 00:30:00 UTC,+42.5,+113-3.60275e-15d,+113,+113,+1.275,+0.0651396
2012-04-08 01:00:00 UTC,+99,+101+0d,+101,+113,+1.27868,+0.0651396
2012-04-08 01:30:00 UTC,+149.5,+59-6.90019e-15d,+59,+113,+1.28197,+0.0632799
2012-04-08 02:00:00 UTC,+179,+85-4.78954e-15d,+85,+113,+1.28384,+0.0632799
2012-04-08 02:30:00 UTC,+221.5,+110+3.70101e-15d,+110,+113,+1.28653,+0.0479266
2012-04-08 03:00:00 UTC,+276.5,+70-5.81587e-15d,+70,+113,+1.28916,+0.0479266
2012-04-08 03:30:00 UTC,+311.5,+59+0d,+59,+113,+1.29084,+0.0549807
2012-04-08 04:00:00 UTC,+341,+109+0d,+109,+113,+1.29246,+0.0549807
2012-04-08 04:30:00 UTC,+395.5,+90+0d,+90,+113,+1.29546,+0.0541449
2012-04-08 05:00:00 UTC,+440.5,+59-3.45009e-15d,+59,+113,+1.29789,+0.0541449
2012-04-08 05:30:00 UTC,+470,+61-3.33698e-15d,+61,+113,+1.29949,+0.0526922
2012-04-08 06:00:00 UTC,+500.5,+61+0d,+61,+113,+1.3011,+0.0526922
2012-04-08 06:30:00 UTC,+531,+61-3.33698e-15d,+61,+113,+1.30271,+0.0256759
2012-04-08 07:00:00 UTC,+561.5,+85-9.57908e-15d,+85,+113,+1.30349,+0.0256759
2012-04-08 07:30:00 UTC,+604,+58+0d,+58,+113,+1.30458,+0.0487565
2012-04-08 08:00:00 UTC,+633,+60-3.39259e-15d,+60,+113,+1.30599,+0.0487565
2012-04-08 08:30:00 UTC,+663,+59+0d,+59,+113,+1.30746,+0.0607318
2012-04-08 09:00:00 UTC,+692.5,+79+0d,+79,+113,+1.30925,+0.0607318
2012-04-08 09:30:00 UTC,+732,+77+0d,+77,+113,+1.31165,+0.0674444
2012-04-08 10:00:00 UTC,+770.5,+269-3.02685e-15d,+269,+269,+1.31424,+0.0674444
2012-04-08 10:30:00 UTC,+905,+111-7.33533e-15d,+111,+269,+1.32332,+0.0771391
2012-04-08 11:00:00 UTC,+960.5,+111+0d,+111,+269,+1.3276,+0.0771391
2012-04-08 11:30:00 UTC,+1016,+101+0d,+101,+269,+1.33188,+0.115129
2012-04-08 12:00:00 UTC,+1066.5,+60+3.39259e-15d,+60,+269,+1.33769,+0.115129
2012-04-08 12:30:00 UTC,+1096.5,+97-4.19702e-15d,+97,+269,+1.34115,+0.314472
2012-04-08 13:00:00 UTC,+1145,+112-3.63492e-15d,+112,+269,+1.3564,+0.314472
2012-04-08 13:30:00 UTC,+1201,+71+0d,+71,+269,+1.37401,+0.103281
2012-04-08 14:00:00 UTC,+1236.5,+66+6.16835e-15d,+66,+269,+1.37767,+0.103281
2012-04-08 14:30:00 UTC,+1269.5,+110-7.40202e-15d,+110,+269,+1.38108,+0.107517
2012-04-08 15:00:00 UTC,+1324.5,+87+0d,+87,+269,+1.387,+0.107517
2012-04-08 15:30:00 UTC,+1368,+58+7.01916e-15d,+58,+269,+1.39167,+0.0909781
2012-04-08 16:00:00 UTC,+1397,+57+3.57115e-15d,+57,+269,+1.39431,+0.0909781
2012-04-08 16:30:00 UTC,+1425.5,+61+0d,+61,+269,+1.3969,+0.0994651
2012-04-08 17:00:00 UTC,+1456,+61-3.33698e-15d,+61,+269,+1.39994,+0.0994651
2012-04-08 17:30:00 UTC,+1486.5,+65+3.13162e-15d,+65,+269,+1.40297,+0.163446
2012-04-08 18:00:00 UTC,+1519,+62+6.56631e-15d,+62,+269,+1.40828,+0.163446
2012-04-08 18:30:00 UTC,+1550,+106+0d,+106,+269,+1.41335,+0.18878
2012-04-08 19:00:00 UTC,+1603,+75+0d,+75,+269,+1.42336,+0.18878
2012-04-08 19:30:00 UTC,+1640.5,+63-9.69312e-15d,+63,+269,+1.43044,+0.122554
2012-04-08 20:00:00 UTC,+1672,+183+4.4493e-15d,+183,+269,+1.4343,+0.122554
2012-04-08 20:30:00 UTC,+1763.5,+118-1.03503e-14d,+118,+269,+1.44551,+0.281735
2012-04-08 21:00:00 UTC,+1822.5,+122+0d,+122,+269,+1.46213,+0.281735
2012-04-08 21:30:00 UTC,+1883.5,+140+0d,+140,+269,+1.47932,+0.240559
2012-04-08 22:00:00 UTC,+1953.5,+127-3.2056e-15d,+127,+269,+1.49616,+0.240559
2012-04-08 22:30:00 UTC,+2017,+136+0d,+136,+269,+1.51143,+0.0828338
2012-04-08 23:00:00 UTC,+2085,+114+0d,+114,+269,+1.51706,+0.0828338
2012-04-08 23:30:00 UTC,+2142,+93+4.37754e-15d,+93,+269,+1.52179,+0.0810057
2012-04-09 00:00:00 UTC,+2188.5,+73+0d,+73,+269,+1.52555,+0.0810057
2012-04-09 00:30:00 UTC,+2225,+103-3.95253e-15d,+103,+269,+1.52851,+0.0623406
2012-04-09 01:00:00 UTC,+2276.5,+110-3.70101e-15d,+110,+269,+1.53172,+0.0623406
2012-04-09 01:30:00 UTC,+2331.5,+64+6.36111e-15d,+64,+269,+1.53515,+0.0583953
2012-04-09 02:00:00 UTC,+2363.5,+66+0d,+66,+269,+1.53702,+0.0583953
2012-04-09 02:30:00 UTC,+2396.5,+111+0d,+111,+269,+1.53894,+0.0561628
2012-04-09 03:00:00 UTC,+2452,+87+0d,+87,+269,+1.54206,+0.0561628
2012-04-09 03:30:00 UTC,+2495.5,+59+0d,+59,+269,+1.5445,+0.0533591
2012-04-09 04:00:00 UTC,+2525,+90-4.52346e-15d,+90,+269,+1.54608,+0.0533591
2012-04-09 04:30:00 UTC,+2570,+109+7.46993e-15d,+109,+269,+1.54848,+0.0559435
2012-04-09 05:00:00 UTC,+2624.5,+59+3.45009e-15d,+59,+269,+1.55153,+0.0559435
2012-04-09 05:30:00 UTC,+2654,+61+0d,+61,+269,+1.55318,+0.0666255
2012-04-09 06:00:00 UTC,+2684.5,+60+3.39259e-15d,+60,+269,+1.55521,+0.0666255
2012-04-09 06:30:00 UTC,+2714.5,+60+0d,+60,+269,+1.55721,+0.0715496
2012-04-09 07:00:00 UTC,+2744.5,+77-5.28716e-15d,+77,+269,+1.55936,+0.0715496
2012-04-09 07:30:00 UTC,+2783,+62+6.56631e-15d,+62,+269,+1.56211,+0.0638158
2012-04-09 08:00:00 UTC,+2814,+59+0d,+59,+269,+1.56409,+0.0638158
2012-04-09 08:30:00 UTC,+2843.5,+57+3.57115e-15d,+57,+269,+1.56597,+0.0814734
2012-04-09 09:00:00 UTC,+2872,+75+5.42815e-15d,+75,+269,+1.56829,+0.0814734
2012-04-09 09:30:00 UTC,+2909.5,+60+3.39259e-15d,+60,+269,+1.57135,+0.0935965
2012-04-09 10:00:00 UTC,+2939.5,+121-3.36455e-15d,+121,+269,+1.57416,+0.0935965
2012-04-09 10:30:00 UTC,+3000,+112+0d,+112,+269,+1.57982,+0.206686
2012-04-09 11:00:00 UTC,+3056,+108-3.76955e-15d,+108,+269,+1.59139,+0.206686
2012-04-09 11:30:00 UTC,+3110,+108+3.76955e-15d,+108,+269,+1.60256,+0.189668
2012-04-09 12:00:00 UTC,+3164,+76-5.35672e-15d,+76,+269,+1.6128,+0.189668
2012-04-09 12:30:00 UTC,+3202,+63+0d,+63,+269,+1.62,+0.113224
2012-04-09 13:00:00 UTC,+3233.5,+109+0d,+109,+269,+1.62357,+0.113224
2012-04-09 13:30:00 UTC,+3288,+99+8.22446e-15d,+99,+269,+1.62974,+0.132286
2012-04-09 14:00:00 UTC,+3337.5,+59+3.45009e-15d,+59,+269,+1.63629,+0.132286
2012-04-09 14:30:00 UTC,+3367,+84+4.84656e-15d,+84,+269,+1.64019,+0.114641
2012-04-09 15:00:00 UTC,+3409,+59+0d,+59,+269,+1.64501,+0.114641
2012-04-09 15:30:00 UTC,+3438.5,+92+0d,+92,+269,+1.64839,+0.112132
2012-04-09 16:00:00 UTC,+3484.5,+62-3.28315e-15d,+62,+269,+1.65355,+0.112132
2012-04-09 16:30:00 UTC,+3515.5,+88-4.62626e-15d,+88,+269,+1.65702,+0.139998
2012-04-09 17:00:00 UTC,+3559.5,+66+3.08417e-15d,+66,+269,+1.66318,+0.139998
