# file...... strom/apartment_building6_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building6
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+527
2012-04-08 00:30:00 UTC,+469
2012-04-08 01:00:00 UTC,+433
2012-04-08 01:30:00 UTC,+363
2012-04-08 02:00:00 UTC,+365
2012-04-08 02:30:00 UTC,+319
2012-04-08 03:00:00 UTC,+401
2012-04-08 03:30:00 UTC,+569
2012-04-08 04:00:00 UTC,+415
2012-04-08 04:30:00 UTC,+392
2012-04-08 05:00:00 UTC,+452
2012-04-08 05:30:00 UTC,+323
2012-04-08 06:00:00 UTC,+490
2012-04-08 06:30:00 UTC,+411
2012-04-08 07:00:00 UTC,+402
2012-04-08 07:30:00 UTC,+473
2012-04-08 08:00:00 UTC,+1928
2012-04-08 08:30:00 UTC,+1301
2012-04-08 09:00:00 UTC,+964
2012-04-08 09:30:00 UTC,+818
2012-04-08 10:00:00 UTC,+2566
2012-04-08 10:30:00 UTC,+1322
2012-04-08 11:00:00 UTC,+950
2012-04-08 11:30:00 UTC,+2368
2012-04-08 12:00:00 UTC,+931
2012-04-08 12:30:00 UTC,+1170
2012-04-08 13:00:00 UTC,+1052
2012-04-08 13:30:00 UTC,+577
2012-04-08 14:00:00 UTC,+721
2012-04-08 14:30:00 UTC,+656
2012-04-08 15:00:00 UTC,+1031
2012-04-08 15:30:00 UTC,+1251
2012-04-08 16:00:00 UTC,+2975
2012-04-08 16:30:00 UTC,+1838
2012-04-08 17:00:00 UTC,+2763
2012-04-08 17:30:00 UTC,+1718
2012-04-08 18:00:00 UTC,+1616
2012-04-08 18:30:00 UTC,+727
2012-04-08 19:00:00 UTC,+820
2012-04-08 19:30:00 UTC,+961
2012-04-08 20:00:00 UTC,+1050
2012-04-08 20:30:00 UTC,+633
2012-04-08 21:00:00 UTC,+592
2012-04-08 21:30:00 UTC,+961
2012-04-08 22:00:00 UTC,+641
2012-04-08 22:30:00 UTC,+615
2012-04-08 23:00:00 UTC,+502
2012-04-08 23:30:00 UTC,+509
2012-04-09 00:00:00 UTC,+463
2012-04-09 00:30:00 UTC,+519
2012-04-09 01:00:00 UTC,+492
2012-04-09 01:30:00 UTC,+410
2012-04-09 02:00:00 UTC,+329
2012-04-09 02:30:00 UTC,+463
2012-04-09 03:00:00 UTC,+349
2012-04-09 03:30:00 UTC,+341
