# file...... strom/strom_82.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# target.... triplex_meter 768
# trigger... (none)
# interval.. 1800
# limit..... 0
# timestamp,measured_real_energy,measured_power,measured_real_power,measured_demand,monthly_bill,price
2012-04-08 00:00:00 UTC,+0,+75+0d,+75,+75,+0,+30
2012-04-08 00:30:00 UTC,+37.5,+20-1.01778e-14d,+20,+75,+1.125,+0.0651396
2012-04-08 01:00:00 UTC,+47.5,+0+0d,+0,+75,+1.12565,+0.0651396
2012-04-08 01:30:00 UTC,+47.5,+63-1.61552e-14d,+63,+75,+1.12565,+0.0632799
2012-04-08 02:00:00 UTC,+79,+7-1.81746e-14d,+7,+75,+1.12764,+0.0632799
2012-04-08 02:30:00 UTC,+82.5,+8+6.36111e-15d,+8,+75,+1.12787,+0.0479266
2012-04-08 03:00:00 UTC,+86.5,+62-1.96989e-14d,+62,+75,+1.12806,+0.0479266
2012-04-08 03:30:00 UTC,+117.5,+0+0d,+0,+75,+1.12954,+0.0549807
2012-04-08 04:00:00 UTC,+117.5,+15-1.01778e-14d,+15,+75,+1.12954,+0.0549807
2012-04-08 04:30:00 UTC,+125,+53+3.84067e-15d,+53,+75,+1.12996,+0.0541449
2012-04-08 05:00:00 UTC,+151.5,+1-3.18055e-15d,+1,+75,+1.13139,+0.0541449
2012-04-08 05:30:00 UTC,+152,+24-4.24074e-15d,+24,+75,+1.13142,+0.0526922
2012-04-08 06:00:00 UTC,+164,+64+0d,+64,+75,+1.13205,+0.0526922
2012-04-08 06:30:00 UTC,+196,+230-1.41604e-14d,+230,+230,+1.13374,+0.0256759
2012-04-08 07:00:00 UTC,+311,+129-6.3118e-15d,+129,+230,+1.13669,+0.0256759
2012-04-08 07:30:00 UTC,+375.5,+86+4.73385e-15d,+86,+230,+1.13835,+0.0487565
2012-04-08 08:00:00 UTC,+418.5,+45-4.52346e-15d,+45,+230,+1.14044,+0.0487565
2012-04-08 08:30:00 UTC,+441,+60+3.39259e-15d,+60,+230,+1.14154,+0.0607318
