# file...... strom/apartment_building1_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building1
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+532
2012-04-08 00:30:00 UTC,+576
2012-04-08 01:00:00 UTC,+389
2012-04-08 01:30:00 UTC,+224
2012-04-08 02:00:00 UTC,+217
2012-04-08 02:30:00 UTC,+166
2012-04-08 03:00:00 UTC,+137
2012-04-08 03:30:00 UTC,+196
2012-04-08 04:00:00 UTC,+158
2012-04-08 04:30:00 UTC,+142
2012-04-08 05:00:00 UTC,+191
2012-04-08 05:30:00 UTC,+156
2012-04-08 06:00:00 UTC,+157
2012-04-08 06:30:00 UTC,+157
2012-04-08 07:00:00 UTC,+188
2012-04-08 07:30:00 UTC,+122
2012-04-08 08:00:00 UTC,+182
2012-04-08 08:30:00 UTC,+164
2012-04-08 09:00:00 UTC,+155
2012-04-08 09:30:00 UTC,+383
2012-04-08 10:00:00 UTC,+382
2012-04-08 10:30:00 UTC,+479
2012-04-08 11:00:00 UTC,+404
2012-04-08 11:30:00 UTC,+460
2012-04-08 12:00:00 UTC,+427
2012-04-08 12:30:00 UTC,+409
2012-04-08 13:00:00 UTC,+529
2012-04-08 13:30:00 UTC,+442
2012-04-08 14:00:00 UTC,+398
2012-04-08 14:30:00 UTC,+428
2012-04-08 15:00:00 UTC,+385
2012-04-08 15:30:00 UTC,+365
2012-04-08 16:00:00 UTC,+495
2012-04-08 16:30:00 UTC,+604
2012-04-08 17:00:00 UTC,+568
2012-04-08 17:30:00 UTC,+819
2012-04-08 18:00:00 UTC,+570
2012-04-08 18:30:00 UTC,+530
2012-04-08 19:00:00 UTC,+669
2012-04-08 19:30:00 UTC,+565
2012-04-08 20:00:00 UTC,+578
2012-04-08 20:30:00 UTC,+441
2012-04-08 21:00:00 UTC,+510
2012-04-08 21:30:00 UTC,+509
2012-04-08 22:00:00 UTC,+569
2012-04-08 22:30:00 UTC,+665
2012-04-08 23:00:00 UTC,+622
2012-04-08 23:30:00 UTC,+513
2012-04-09 00:00:00 UTC,+304
2012-04-09 00:30:00 UTC,+158
2012-04-09 01:00:00 UTC,+160
2012-04-09 01:30:00 UTC,+166
2012-04-09 02:00:00 UTC,+178
2012-04-09 02:30:00 UTC,+137
2012-04-09 03:00:00 UTC,+176
2012-04-09 03:30:00 UTC,+175
2012-04-09 04:00:00 UTC,+149
2012-04-09 04:30:00 UTC,+168
2012-04-09 05:00:00 UTC,+178
2012-04-09 05:30:00 UTC,+154
2012-04-09 06:00:00 UTC,+152
2012-04-09 06:30:00 UTC,+205
2012-04-09 07:00:00 UTC,+124
2012-04-09 07:30:00 UTC,+172
2012-04-09 08:00:00 UTC,+174
2012-04-09 08:30:00 UTC,+162
2012-04-09 09:00:00 UTC,+124
2012-04-09 09:30:00 UTC,+375
2012-04-09 10:00:00 UTC,+243
2012-04-09 10:30:00 UTC,+744
2012-04-09 11:00:00 UTC,+484
2012-04-09 11:30:00 UTC,+393
2012-04-09 12:00:00 UTC,+356
2012-04-09 12:30:00 UTC,+490
2012-04-09 13:00:00 UTC,+570
2012-04-09 13:30:00 UTC,+831
2012-04-09 14:00:00 UTC,+789
2012-04-09 14:30:00 UTC,+521
2012-04-09 15:00:00 UTC,+469
2012-04-09 15:30:00 UTC,+489
2012-04-09 16:00:00 UTC,+648
2012-04-09 16:30:00 UTC,+690
2012-04-09 17:00:00 UTC,+610
2012-04-09 17:30:00 UTC,+1119
2012-04-09 18:00:00 UTC,+626
2012-04-09 18:30:00 UTC,+620
2012-04-09 19:00:00 UTC,+623
2012-04-09 19:30:00 UTC,+559
2012-04-09 20:00:00 UTC,+536
2012-04-09 20:30:00 UTC,+534
2012-04-09 21:00:00 UTC,+526
2012-04-09 21:30:00 UTC,+597
2012-04-09 22:00:00 UTC,+752
2012-04-09 22:30:00 UTC,+597
2012-04-09 23:00:00 UTC,+448
2012-04-09 23:30:00 UTC,+404
2012-04-10 00:00:00 UTC,+366
2012-04-10 00:30:00 UTC,+239
2012-04-10 01:00:00 UTC,+167
2012-04-10 01:30:00 UTC,+190
2012-04-10 02:00:00 UTC,+160
2012-04-10 02:30:00 UTC,+154
2012-04-10 03:00:00 UTC,+211
2012-04-10 03:30:00 UTC,+176
2012-04-10 04:00:00 UTC,+248
2012-04-10 04:30:00 UTC,+211
2012-04-10 05:00:00 UTC,+145
2012-04-10 05:30:00 UTC,+168
2012-04-10 06:00:00 UTC,+187
2012-04-10 06:30:00 UTC,+155
2012-04-10 07:00:00 UTC,+139
2012-04-10 07:30:00 UTC,+319
2012-04-10 08:00:00 UTC,+349
2012-04-10 08:30:00 UTC,+307
2012-04-10 09:00:00 UTC,+340
2012-04-10 09:30:00 UTC,+316
2012-04-10 10:00:00 UTC,+313
2012-04-10 10:30:00 UTC,+496
2012-04-10 11:00:00 UTC,+475
