# file...... strom/apartment_building2_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building2
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+523
2012-04-08 00:30:00 UTC,+447
2012-04-08 01:00:00 UTC,+343
2012-04-08 01:30:00 UTC,+312
2012-04-08 02:00:00 UTC,+337
2012-04-08 02:30:00 UTC,+326
2012-04-08 03:00:00 UTC,+321
2012-04-08 03:30:00 UTC,+288
2012-04-08 04:00:00 UTC,+329
2012-04-08 04:30:00 UTC,+310
2012-04-08 05:00:00 UTC,+364
2012-04-08 05:30:00 UTC,+428
2012-04-08 06:00:00 UTC,+413
2012-04-08 06:30:00 UTC,+424
2012-04-08 07:00:00 UTC,+415
2012-04-08 07:30:00 UTC,+474
2012-04-08 08:00:00 UTC,+998
2012-04-08 08:30:00 UTC,+368
2012-04-08 09:00:00 UTC,+535
2012-04-08 09:30:00 UTC,+332
2012-04-08 10:00:00 UTC,+494
2012-04-08 10:30:00 UTC,+645
2012-04-08 11:00:00 UTC,+376
2012-04-08 11:30:00 UTC,+274
2012-04-08 12:00:00 UTC,+399
2012-04-08 12:30:00 UTC,+313
2012-04-08 13:00:00 UTC,+296
2012-04-08 13:30:00 UTC,+392
2012-04-08 14:00:00 UTC,+1205
2012-04-08 14:30:00 UTC,+881
2012-04-08 15:00:00 UTC,+1314
2012-04-08 15:30:00 UTC,+1089
2012-04-08 16:00:00 UTC,+860
2012-04-08 16:30:00 UTC,+313
2012-04-08 17:00:00 UTC,+395
2012-04-08 17:30:00 UTC,+409
2012-04-08 18:00:00 UTC,+429
2012-04-08 18:30:00 UTC,+378
2012-04-08 19:00:00 UTC,+380
2012-04-08 19:30:00 UTC,+511
2012-04-08 20:00:00 UTC,+1151
2012-04-08 20:30:00 UTC,+477
2012-04-08 21:00:00 UTC,+557
2012-04-08 21:30:00 UTC,+467
2012-04-08 22:00:00 UTC,+470
2012-04-08 22:30:00 UTC,+479
2012-04-08 23:00:00 UTC,+471
2012-04-08 23:30:00 UTC,+486
2012-04-09 00:00:00 UTC,+597
2012-04-09 00:30:00 UTC,+1099
2012-04-09 01:00:00 UTC,+607
2012-04-09 01:30:00 UTC,+585
2012-04-09 02:00:00 UTC,+607
2012-04-09 02:30:00 UTC,+600
2012-04-09 03:00:00 UTC,+586
2012-04-09 03:30:00 UTC,+568
2012-04-09 04:00:00 UTC,+575
2012-04-09 04:30:00 UTC,+867
2012-04-09 05:00:00 UTC,+1166
2012-04-09 05:30:00 UTC,+1122
2012-04-09 06:00:00 UTC,+1124
2012-04-09 06:30:00 UTC,+651
2012-04-09 07:00:00 UTC,+546
2012-04-09 07:30:00 UTC,+954
2012-04-09 08:00:00 UTC,+1032
2012-04-09 08:30:00 UTC,+860
2012-04-09 09:00:00 UTC,+658
2012-04-09 09:30:00 UTC,+292
2012-04-09 10:00:00 UTC,+1018
2012-04-09 10:30:00 UTC,+377
2012-04-09 11:00:00 UTC,+307
2012-04-09 11:30:00 UTC,+242
2012-04-09 12:00:00 UTC,+323
2012-04-09 12:30:00 UTC,+247
2012-04-09 13:00:00 UTC,+236
2012-04-09 13:30:00 UTC,+297
2012-04-09 14:00:00 UTC,+363
2012-04-09 14:30:00 UTC,+337
2012-04-09 15:00:00 UTC,+338
2012-04-09 15:30:00 UTC,+391
2012-04-09 16:00:00 UTC,+419
2012-04-09 16:30:00 UTC,+326
2012-04-09 17:00:00 UTC,+428
2012-04-09 17:30:00 UTC,+290
2012-04-09 18:00:00 UTC,+347
2012-04-09 18:30:00 UTC,+454
2012-04-09 19:00:00 UTC,+1005
2012-04-09 19:30:00 UTC,+825
2012-04-09 20:00:00 UTC,+823
2012-04-09 20:30:00 UTC,+567
2012-04-09 21:00:00 UTC,+575
2012-04-09 21:30:00 UTC,+1078
2012-04-09 22:00:00 UTC,+963
2012-04-09 22:30:00 UTC,+555
2012-04-09 23:00:00 UTC,+582
2012-04-09 23:30:00 UTC,+570
2012-04-10 00:00:00 UTC,+549
2012-04-10 00:30:00 UTC,+513
2012-04-10 01:00:00 UTC,+252
2012-04-10 01:30:00 UTC,+271
2012-04-10 02:00:00 UTC,+247
2012-04-10 02:30:00 UTC,+269
2012-04-10 03:00:00 UTC,+229
2012-04-10 03:30:00 UTC,+238
2012-04-10 04:00:00 UTC,+250
2012-04-10 04:30:00 UTC,+226
2012-04-10 05:00:00 UTC,+235
2012-04-10 05:30:00 UTC,+243
2012-04-10 06:00:00 UTC,+222
