# file...... strom/apartment_building3_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building3
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+373
2012-04-08 00:30:00 UTC,+195
2012-04-08 01:00:00 UTC,+152
2012-04-08 01:30:00 UTC,+311
2012-04-08 02:00:00 UTC,+152
2012-04-08 02:30:00 UTC,+111
2012-04-08 03:00:00 UTC,+142
2012-04-08 03:30:00 UTC,+124
2012-04-08 04:00:00 UTC,+86
2012-04-08 04:30:00 UTC,+102
2012-04-08 05:00:00 UTC,+115
2012-04-08 05:30:00 UTC,+114
2012-04-08 06:00:00 UTC,+180
2012-04-08 06:30:00 UTC,+135
2012-04-08 07:00:00 UTC,+136
2012-04-08 07:30:00 UTC,+132
2012-04-08 08:00:00 UTC,+334
2012-04-08 08:30:00 UTC,+116
2012-04-08 09:00:00 UTC,+95
2012-04-08 09:30:00 UTC,+246
2012-04-08 10:00:00 UTC,+134
2012-04-08 10:30:00 UTC,+380
2012-04-08 11:00:00 UTC,+539
2012-04-08 11:30:00 UTC,+176
2012-04-08 12:00:00 UTC,+351
2012-04-08 12:30:00 UTC,+235
2012-04-08 13:00:00 UTC,+201
2012-04-08 13:30:00 UTC,+164
2012-04-08 14:00:00 UTC,+294
2012-04-08 14:30:00 UTC,+290
2012-04-08 15:00:00 UTC,+955
2012-04-08 15:30:00 UTC,+793
2012-04-08 16:00:00 UTC,+438
2012-04-08 16:30:00 UTC,+1146
2012-04-08 17:00:00 UTC,+785
2012-04-08 17:30:00 UTC,+577
2012-04-08 18:00:00 UTC,+428
2012-04-08 18:30:00 UTC,+347
2012-04-08 19:00:00 UTC,+826
2012-04-08 19:30:00 UTC,+632
2012-04-08 20:00:00 UTC,+732
2012-04-08 20:30:00 UTC,+952
2012-04-08 21:00:00 UTC,+555
2012-04-08 21:30:00 UTC,+269
2012-04-08 22:00:00 UTC,+252
2012-04-08 22:30:00 UTC,+441
2012-04-08 23:00:00 UTC,+416
2012-04-08 23:30:00 UTC,+387
2012-04-09 00:00:00 UTC,+200
2012-04-09 00:30:00 UTC,+162
2012-04-09 01:00:00 UTC,+116
2012-04-09 01:30:00 UTC,+112
2012-04-09 02:00:00 UTC,+114
2012-04-09 02:30:00 UTC,+107
2012-04-09 03:00:00 UTC,+143
2012-04-09 03:30:00 UTC,+116
2012-04-09 04:00:00 UTC,+139
2012-04-09 04:30:00 UTC,+106
2012-04-09 05:00:00 UTC,+122
2012-04-09 05:30:00 UTC,+132
2012-04-09 06:00:00 UTC,+150
2012-04-09 06:30:00 UTC,+151
2012-04-09 07:00:00 UTC,+145
2012-04-09 07:30:00 UTC,+88
2012-04-09 08:00:00 UTC,+120
2012-04-09 08:30:00 UTC,+109
2012-04-09 09:00:00 UTC,+227
2012-04-09 09:30:00 UTC,+637
2012-04-09 10:00:00 UTC,+846
2012-04-09 10:30:00 UTC,+567
2012-04-09 11:00:00 UTC,+631
2012-04-09 11:30:00 UTC,+806
2012-04-09 12:00:00 UTC,+773
2012-04-09 12:30:00 UTC,+746
2012-04-09 13:00:00 UTC,+1016
