# file...... strom/apartment_building4_power.csv
# date...... Mon Nov 16 14:33:49 2020
# user...... gregor
# host...... (null)
# group..... class=triplex_meter AND groupid=building4
# trigger... (none)
# interval.. 1800
# limit..... 0
# property.. timestamp,sum(measured_real_power)
2012-04-08 00:00:00 UTC,+228
2012-04-08 00:30:00 UTC,+247
2012-04-08 01:00:00 UTC,+188
2012-04-08 01:30:00 UTC,+249
2012-04-08 02:00:00 UTC,+224
2012-04-08 02:30:00 UTC,+206
2012-04-08 03:00:00 UTC,+209
2012-04-08 03:30:00 UTC,+191
2012-04-08 04:00:00 UTC,+211
2012-04-08 04:30:00 UTC,+210
2012-04-08 05:00:00 UTC,+273
2012-04-08 05:30:00 UTC,+220
2012-04-08 06:00:00 UTC,+214
2012-04-08 06:30:00 UTC,+568
2012-04-08 07:00:00 UTC,+310
2012-04-08 07:30:00 UTC,+613
2012-04-08 08:00:00 UTC,+533
2012-04-08 08:30:00 UTC,+361
2012-04-08 09:00:00 UTC,+1003
2012-04-08 09:30:00 UTC,+790
2012-04-08 10:00:00 UTC,+579
2012-04-08 10:30:00 UTC,+421
2012-04-08 11:00:00 UTC,+537
2012-04-08 11:30:00 UTC,+627
2012-04-08 12:00:00 UTC,+1257
2012-04-08 12:30:00 UTC,+345
2012-04-08 13:00:00 UTC,+437
2012-04-08 13:30:00 UTC,+497
2012-04-08 14:00:00 UTC,+657
2012-04-08 14:30:00 UTC,+894
2012-04-08 15:00:00 UTC,+701
2012-04-08 15:30:00 UTC,+449
2012-04-08 16:00:00 UTC,+478
2012-04-08 16:30:00 UTC,+715
2012-04-08 17:00:00 UTC,+544
2012-04-08 17:30:00 UTC,+951
2012-04-08 18:00:00 UTC,+537
2012-04-08 18:30:00 UTC,+508
2012-04-08 19:00:00 UTC,+585
2012-04-08 19:30:00 UTC,+654
2012-04-08 20:00:00 UTC,+998
2012-04-08 20:30:00 UTC,+756
2012-04-08 21:00:00 UTC,+849
2012-04-08 21:30:00 UTC,+603
2012-04-08 22:00:00 UTC,+708
2012-04-08 22:30:00 UTC,+650
2012-04-08 23:00:00 UTC,+513
2012-04-08 23:30:00 UTC,+452
2012-04-09 00:00:00 UTC,+337
2012-04-09 00:30:00 UTC,+331
2012-04-09 01:00:00 UTC,+288
2012-04-09 01:30:00 UTC,+332
